Name,solvent_SMILES,CAS,G-score prediction,G-score prediction uncertainty,Relative Energy Difference (RED),Source
Methyl Hydrazine,CNN,60-34-4,5.407,0.8513,0.5744562646538021,high-fidelity RED
Methyl Lactate,COC(C(O)C)=O,547-64-8,6.983,0.7522,0.9646890690787373,low-fidelity RED
Ethylene Glycol Monomethyl Ether,COCCO,109-86-4,5.38,0.7342,0.46165463281548436,high-fidelity RED
Methoxy Methanol,COCO,4461-52-3,5.823,0.785,0.6294839156007087,high-fidelity RED
"2,2-Difluoro-Ethanol",FC(F)CO,359-13-7,6.475,0.8064,0.6388466169590316,low-fidelity RED
Methyl Amine,N[C]([H])([H])[H],74-89-5,5.272,0.6876,0.6046693311223913,high-fidelity RED
Lysine,N[C@H](C(O)=O)CCCCN,56-87-1,6.824,1.091,0.917196816392207,low-fidelity RED
"1-Butanol, 2-Amino-",NC(CO)CC,96-20-8,7.074,0.8694,0.8097067370350814,low-fidelity RED
Ethylenediamine,NCCN,107-15-3,5.58,0.8013,0.6309714732061987,high-fidelity RED
Diethylenetriamine,NCCNCCN,111-40-0,5.722,0.9962,0.8877640452282346,high-fidelity RED
2-Aminoethoxyethanol,NCCOCCO,929-06-6,7.718,0.8669,0.9688911187538052,low-fidelity RED
1-O-Octyl- -d-Glucopyranoside,O(CCCCCCCC)[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)CO,29836-26-8,6.895,1.215,0.757050196486336,low-fidelity RED
t-Butyl Alcohol,O[C](C)(C)C,75-65-0,6.049,0.7236,0.9113863066779094,high-fidelity RED
t-Butyl Alcohol,O[C@](C)(C)C,75-65-0,6.049,0.7236,0.9113863066779094,low-fidelity RED
Sucrose,O[C@H](C(CO)O[C@H](O[C]2(O[C@H](CO)[C@@H](O)[C@@H]2O)CO)[C@@H]1O)[C@@H]1O,57-50-1,7.355,1.406,0.9113863066779094,low-fidelity RED
Lactose,O[C@H]2[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O[C@@H](O)[C@@H]2O)CO,63-42-3,6.928,1.301,0.9374166629626336,low-fidelity RED
"Acetic Acid, Hydroxy-, Ethyl Ester",O=C(CO)OCC,623-50-7,6.995,0.8977,0.8860022573334665,low-fidelity RED
Alanine,O=C(O)[C@@H](N)C,56-41-7,6.934,0.8876,0.8158584436040363,low-fidelity RED
Dimethylmalonic Acid,O=C(O)C(C(=O)O)(C)C,595-46-0,5.647,0.8361,0.9617692030835676,low-fidelity RED
2-Methylalanine,O=C(O)C(N)(C)C,62-57-7,5.93,0.9348,0.461654632815485,low-fidelity RED
2-Aminobutanoic Acid,O=C(O)C(N)CC,80-60-4,6.891,0.9167,0.5678908345800272,low-fidelity RED
Norvaline,O=C(O)C(N)CCC,6600-40-4,6.183,0.875,0.8529361054615988,low-fidelity RED
Norleucine,O=C(O)C(N)CCCC,327-57-1,6.698,0.9046,0.8547660498639378,low-fidelity RED
Diaminopimelic Acid,O=C(O)C(N)CCCC(N)C(=O)O,922-54-3,6.862,0.8827,0.7689278249614857,low-fidelity RED
Dl-Methoxyalanine,O=C(O)C(N)COC,4219-94-7,6.401,0.9477,0.7685213074469689,low-fidelity RED
l-Argininosuccinic Acid,O=C(O)C[C@@H](C(=O)O)NC(=N/CCC[C@H](N)C(=O)O)/N,2387-71-5,6.961,1.316,0.4930770730829004,low-fidelity RED
3-Methylglutaric Acid,O=C(O)CC(C)CC(=O)O,626-51-7,6.367,0.9314,0.9993748045653349,low-fidelity RED
α-Ethylglutamic Acid,O=C(O)CCC(N)(C(=O)O)CC,,6.088,1.02,0.8085480814398114,low-fidelity RED
2-Aminoadipic Acid,O=C(O)CCCC(N)C(=O)O,542-32-5,7.083,0.9446,0.9711462299777519,low-fidelity RED
