Name,solvent_SMILES,CAS,G-score prediction,G-score prediction uncertainty,Relative Energy Difference (RED),Source
2-Acetyl Furan,CC(=O)C1=CC=CO1,1192-62-7,7.365,1.033,0.7668930825088985,low-fidelity RED
4-Acetyl Pyridine,CC(=O)C1=CC=NC=C1,1122-54-9,6.772,1.031,0.8444672877027267,low-fidelity RED
3-Acetyl Pyridine,CC(=O)C1=CN=CC=C1,350-03-8,6.752,1.116,0.8444672877027267,low-fidelity RED
"5-Acetyl-2,3-Dihydro-1,4-Thiazine",CC(=O)C1=CSCCN1,164524-93-0,6.329,1.158,0.9842509842514767,low-fidelity RED
2-Acetyl Pyrazine,CC(=O)C1=NC=CN=C1,22047-25-2,7.15,1.219,0.6694213919497946,low-fidelity RED
2-Acetyl Thiazole,CC(=O)C1=NC=CS1,24295-03-2,6.941,1.007,0.8215838362577486,low-fidelity RED
2-Acetyl-1-Pyrroline,CC(=O)C1=NCCC1,99583-29-6,7.124,1.087,0.6749999999999999,low-fidelity RED
2-Acetyl-2-Thiazoline,CC(=O)C1=NCCS1,29926-41-8,6.588,1.004,0.4828301978956993,low-fidelity RED
Cyclopropylmethylketone,CC(=O)C1CC1,765-43-5,6.217,0.9528,0.8732124598286493,high-fidelity RED
Acetoacetanilide,CC(=O)CC(=O)NC1=CC=CC=C1,102-01-2,7.11,1.062,0.6782329983125265,low-fidelity RED
2-Keto-4-Butane Thiol,CC(=O)CCS,34619-12-0,6.695,0.8313,0.7491662031885854,low-fidelity RED
"4,4'-Thiobis-2-Butanone",CC(=O)CCSCCC(=O)C,40790-04-3,6.389,0.8875,0.8518362518700411,low-fidelity RED
1-Mercapto-2-Propanone,CC(=O)CS,24653-75-6,6.279,0.6969,0.6025985396596976,low-fidelity RED
N-Acetyl Pyrrolidone,CC(=O)N1CCCC1=O,932-17-2,6.342,0.9282,0.35443617196894545,high-fidelity RED
N-Acetyl Piperidine,CC(=O)N1CCCCC1,618-42-8 ,5.94,0.9884,0.650960828314577,high-fidelity RED
Acetyl Methyl Anthranilate,CC(=O)NC1=CC=CC=C1C(=O)OC,8/6/19 0:00,7.002,1.042,0.6837397165588674,low-fidelity RED
Vanillyl Acetate,CC(=O)OC1=C(C=C(C=C1)C=O)OC,881-68-5,7.316,1.187,0.9287087810503358,low-fidelity RED
Acetylbromide,CC(Br)=O,506-96-7,6.046,0.8056,0.9236476600955587,high-fidelity RED
3-Mercapto-2-Butanone,CC(C(=O)C)S,40789-98-8,6.273,0.7343,0.9171968163922073,low-fidelity RED
"2,5-Cyclohexadiene-1,4-Dione, 2,5-Dimethyl-",CC(C(C=C1C)=O)=CC1=O,137-18-8,6.575,1.018,0.8295330011518532,low-fidelity RED
Timolol,CC(C)(C)NC[C@@H](COc1c(nsn1)N2CCOCC2)O,26839-75-8,7.002,1.462,0.1600781059358216,low-fidelity RED
Di-Isopropyl Sulfoxide,CC(C)S(=O)C(C)C,2211-89-4,6.213,0.8578,0.5408326913195984,high-fidelity RED
Pulegone,CC(C1)CC/C(C1=O)=C(C)/C,89-82-7,7.096,1.094,0.9826622003516774,high-fidelity RED
4-Methoxy Acetophenone,CC(C1=CC=C(OC)C=C1)=O,100-06-1,7.628,1.046,0.5297405025104268,high-fidelity RED
2-Acetyl Thiophene,CC(C1=CC=CS1)=O,88-15-3,7.066,1.056,0.7607562027351475,high-fidelity RED
Dimedone,CC(CC(C1)=O)(CC1=O)C,126-81-8,6.695,1.009,0.8370334521391604,low-fidelity RED
"2,5-Hexanedione",CC(CCC(C)=O)=O,110-13-4,6.599,0.7669,0.8418729120241375,low-fidelity RED
Acetyl Iodide,CC(I)=O,507-02-8,5.995,0.6492,0.8429857650043684,low-fidelity RED
N-Acetyl-Para-Toluidine,CC(NC1=CC=C(C)C=C1)=O,103-89-9,6.885,0.9562,0.8038967595406757,low-fidelity RED
"Acetamide, N-Ethyl-",CC(NCC)=O,625-50-3,6.361,0.8268,0.8895223437328598,low-fidelity RED
"3,6-Dimethyl-<1,4>Dioxane-2,5-Dione",CC(OC1=O)C(OC1C)=O,95-96-5,7.027,0.9869,0.7297259759663206,low-fidelity RED
d-Camphor,CC1(C)C2CC[C]1(C)C(C2)=O,464-49-3,7.219,1.061,0.714142842854285,high-fidelity RED
Epoxyoxophorone,CC1(CC(=O)C2C(C1=O)(O2)C)C,38284-11-6,7.19,1.152,0.8261355820929153,low-fidelity RED
"4,4-Dimethyloxazolidine-2-One",CC1(COC(=O)N1)C,26654-39-7,6.933,1.089,0.6051859218455101,low-fidelity RED
2-Methylimidazole,Cc1[nH]ccn1,693-98-1,5.995,1.131,0.940079783848158,low-fidelity RED
Cimetidine,CC1=C(N=CN1)CSCCNC(=NC)NC#N,51481-61-9,7.129,1.545,0.18200274723201318,low-fidelity RED
Nutty Thiazole,CC1=C(SC(=N1)C)C(=O)C,38205-60-6,7.317,0.9972,0.9669539802906861,low-fidelity RED
Ketoisophorone,CC1=CC(=O)CC(C1=O)(C)C,1125-21-9,6.759,1.194,0.9974968671630003,low-fidelity RED
5-Methyl Furfural,CC1=CC=C(O1)C=O,620-02-0,6.727,0.9718,0.04999999999999982,low-fidelity RED
Bread Thiophene,CC1=CC=C(S1)C=O,13679-70-4,6.544,1.1,0.5055937104039164,low-fidelity RED
α-Angelica Lactone,CC1=CCC(=O)O1,591-12-8,6.88,0.9861,0.33634060117684295,low-fidelity RED
"2-Acetyl-3,6-Dimethyl Pyrazine",CC1=CN=C(C(=N1)C(=O)C)C,54300-09-3,7.197,1.16,0.7862092596758194,low-fidelity RED
"2-Acetyl-3,5-Dimethyl Pyrazine",CC1=CN=C(C(=N1)C)C(=O)C,54300-08-2,7.23,1.192,0.7862092596758194,low-fidelity RED
2-Methoxy-5-Methyl Pyrazine,CC1=CN=C(C=N1)OC,2882-22-6,6.356,1.15,0.6604922406811451,low-fidelity RED
2-Methoxy-6-Methyl Pyrazine,CC1=CN=CC(=N1)OC,2882-21-5,6.57,1.06,0.6604922406811451,low-fidelity RED
2-Acetyl-4-Methyl Thiazole,CC1=CSC(=N1)C(=O)C,7/5/33 0:00,7.647,1.145,0.7909646009778186,low-fidelity RED
2-Acetyl-6-Methyl Pyrazine,CC1=NC(=CN=C1)C(=O)C,22047-26-3,7.271,1.128,0.5873670062235369,low-fidelity RED
2-Acetyl-5-Methyl Pyrazine,CC1=NC=C(N=C1)C(=O)C,22047-27-4,7.121,1.193,0.5873670062235369,low-fidelity RED
4-Acetyl-2-Methyl Pyrimidine,CC1=NC=CC(=N1)C(=O)C,67860-38-2,7.639,1.208,0.5873670062235369,low-fidelity RED
2-Methyl Pyrazine,CC1=NC=CN=C1,109-08-0,6.204,1.065,0.8385254915624212,high-fidelity RED
2-Acetyl-3-Methyl Pyrazine,CC1=NC=CN=C1C(=O)C,23787-80-6,6.753,1.072,0.5873670062235369,low-fidelity RED
2-Methoxy-3-Methyl Pyrazine,CC1=NC=CN=C1OC,2847-30-5,6.169,1.18,0.6604922406811451,low-fidelity RED
Aldosterone ,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C=O)O,52-39-1,7.511,1.507,0.6619101147436861,low-fidelity RED
Mango Furanone,CC1C(=O)C=C(O1)C,14400-67-0,6.52,1.168,0.9048480535426929,low-fidelity RED
2-Methyl Furan-3(2H)-One,CC1C(=O)C=CO1,41763-99-9,6.801,1.027,0.4750000000000004,low-fidelity RED
Coffee Furanone,CC1C(=O)CCO1,3188-00-9,6.754,1.001,0.4802343178074638,low-fidelity RED
Blackberry Thiophenone,CC1C(=O)CCS1,13679-85-1,7.282,1.054,0.7992183681572887,low-fidelity RED
