Name,solvent_SMILES,CAS,G-score prediction,G-score prediction uncertainty,Relative Energy Difference (RED),Source
Vanillyl Acetate,CC(=O)OC1=C(C=C(C=C1)C=O)OC,881-68-5,7.316,1.187,0.880695747690427,low-fidelity RED
2-Chloroethyl Acetate,CC(=O)OCCCl,542-58-5,6.307,0.8802,0.9924716620639608,high-fidelity RED
Acetylbromide,CC(Br)=O,506-96-7,6.046,0.8056,0.8645808232895295,high-fidelity RED
3-Mercapto-2-Butanone,CC(C(=O)C)S,40789-98-8,6.273,0.7343,0.8533024082938008,low-fidelity RED
"2,5-Cyclohexadiene-1,4-Dione, 2,5-Dimethyl-",CC(C(C=C1C)=O)=CC1=O,137-18-8,6.575,1.018,0.7778174593052025,low-fidelity RED
Timolol,CC(C)(C)NC[C@@H](COc1c(nsn1)N2CCOCC2)O,26839-75-8,7.002,1.462,0.15811388300841925,low-fidelity RED
Isobutyl Sulfoxide,CC(C)CS(=O)CC(C)C,3085-40-3,6.521,0.9327,0.9559027147152577,high-fidelity RED
Di-Isopropyl Sulfoxide,CC(C)S(=O)C(C)C,2211-89-4,6.213,0.8578,0.525,high-fidelity RED
Pulegone,CC(C1)CC/C(C1=O)=C(C)/C,89-82-7,7.096,1.094,0.8965210538520553,high-fidelity RED
4-Methoxy Acetophenone,CC(C1=CC=C(OC)C=C1)=O,100-06-1,7.628,1.046,0.49244289008980463,high-fidelity RED
2-Acetyl Thiophene,CC(C1=CC=CS1)=O,88-15-3,7.066,1.056,0.7972609359550993,high-fidelity RED
Dimedone,CC(CC(C1)=O)(CC1=O)C,126-81-8,6.695,1.009,0.8223442101699263,low-fidelity RED
Benzoylacetone,CC(CC(C1=CC=CC=C1)=O)=O,93-91-4,6.751,0.9939,0.9542667341996156,low-fidelity RED
"2,5-Hexanedione",CC(CCC(C)=O)=O,110-13-4,6.599,0.7669,0.7766112283504538,low-fidelity RED
Acetyl Iodide,CC(I)=O,507-02-8,5.995,0.6492,0.785015923405379,low-fidelity RED
N-Acetyl-Para-Toluidine,CC(NC1=CC=C(C)C=C1)=O,103-89-9,6.885,0.9562,0.7925433742073672,low-fidelity RED
"Acetamide, N-Ethyl-",CC(NCC)=O,625-50-3,6.361,0.8268,0.9594920531197745,low-fidelity RED
p-Nitrophenyl Acetate,CC(OC1=CC=C([N+]([O-])=O)C=C1)=O,830-03-5,7.475,1.164,0.9617692030835671,low-fidelity RED
"3,6-Dimethyl-<1,4>Dioxane-2,5-Dione",CC(OC1=O)C(OC1C)=O,95-96-5,7.027,0.9869,0.7110731326663938,low-fidelity RED
d-Camphor,CC1(C)C2CC[C]1(C)C(C2)=O,464-49-3,7.219,1.061,0.6269968101992224,high-fidelity RED
Epoxyoxophorone,CC1(CC(=O)C2C(C1=O)(O2)C)C,38284-11-6,7.19,1.152,0.7766112283504532,low-fidelity RED
"4,4-Dimethyloxazolidine-2-One",CC1(COC(=O)N1)C,26654-39-7,6.933,1.089,0.5836308764964374,low-fidelity RED
2-Methylimidazole,Cc1[nH]ccn1,693-98-1,5.995,1.131,0.9424038412485379,low-fidelity RED
Cyclotene Monomethyl Ether,CC1=C(C(=O)CC1)OC,14189-85-6,6.63,1.07,0.9565563234854497,low-fidelity RED
Cyclotene Acetate,CC1=C(C(=O)CC1)OC(=O)C,1196-22-1,7.283,1.058,0.9759610647971568,low-fidelity RED
Cimetidine,CC1=C(N=CN1)CSCCNC(=NC)NC#N,51481-61-9,7.129,1.545,0.15411035007422472,low-fidelity RED
Nutty Thiazole,CC1=C(SC(=N1)C)C(=O)C,38205-60-6,7.317,0.9972,0.8849435010213931,low-fidelity RED
Ketoisophorone,CC1=CC(=O)CC(C1=O)(C)C,1125-21-9,6.759,1.194,0.9113863066779093,low-fidelity RED
Para-Methyl Phenoxyacetaldehyde,CC1=CC=C(C=C1)OCC=O,67845-46-9,6.944,1.115,0.9407443861113391,low-fidelity RED
5-Methyl Furfural,CC1=CC=C(O1)C=O,620-02-0,6.727,0.9718,0.13462912017836262,low-fidelity RED
p-Toluenesulfonyl Chloride,CC1=CC=C(S(Cl)(=O)=O)C=C1,98-59-9,5.62,0.9813,0.8440971508067073,low-fidelity RED
Bread Thiophene,CC1=CC=C(S1)C=O,13679-70-4,6.544,1.1,0.5419870847169693,low-fidelity RED
α-Angelica Lactone,CC1=CCC(=O)O1,591-12-8,6.88,0.9861,0.3372684390808011,low-fidelity RED
"2-Acetyl-3,6-Dimethyl Pyrazine",CC1=CN=C(C(=N1)C(=O)C)C,54300-09-3,7.197,1.16,0.70178344238091,low-fidelity RED
"2-Acetyl-3,5-Dimethyl Pyrazine",CC1=CN=C(C(=N1)C)C(=O)C,54300-08-2,7.23,1.192,0.70178344238091,low-fidelity RED
2-Methoxy-5-Methyl Pyrazine,CC1=CN=C(C=N1)OC,2882-22-6,6.356,1.15,0.5857687256929986,low-fidelity RED
2-Methoxy-6-Methyl Pyrazine,CC1=CN=CC(=N1)OC,2882-21-5,6.57,1.06,0.5857687256929986,low-fidelity RED
2-Acetyl-4-Methyl Thiazole,CC1=CSC(=N1)C(=O)C,7/5/33 0:00,7.647,1.145,0.7305819598101226,low-fidelity RED
2-Acetyl-6-Methyl Pyrazine,CC1=NC(=CN=C1)C(=O)C,22047-26-3,7.271,1.128,0.5297405025104275,low-fidelity RED
2-Acetyl-5-Methyl Pyrazine,CC1=NC=C(N=C1)C(=O)C,22047-27-4,7.121,1.193,0.5297405025104275,low-fidelity RED
