Name,solvent_SMILES,CAS,G-score prediction,G-score prediction uncertainty,Relative Energy Difference (RED),Source
Spironolactone,CC(=O)SC1CC2=CC(=O)CCC2(C3C1C4CCC5(C4(CC3)C)CCC(=O)O5)C,52-01-7,7.187,1.555,0.8444672877027266,low-fidelity RED
"2,6-Dichlorotoluene",CC(C(Cl)=CC=C1)=C1Cl,118-69-4,5.313,0.8997,0.860232526704262,low-fidelity RED
o-Chlorotoluene,CC(C=CC=C1)=C1Cl,95-49-8,4.985,0.9804,0.6585969936159739,high-fidelity RED
m-Methylacetophenone,CC(C1=CC(C)=CC=C1)=O,585-74-0,6.882,1.034,0.9604686356149263,low-fidelity RED
p-Chloro Acetophenone,CC(C1=CC=C(Cl)C=C1)=O,99-91-2,6.144,0.9999,0.973396116696589,high-fidelity RED
Musk Xylol,CC1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)[N+](=O)[O-],81-15-2,5.81,1.18,0.9233092656309688,low-fidelity RED
Musk Ketone,CC1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)C(=O)C,81-14-1,6.515,1.197,0.9209370228196931,low-fidelity RED
"2',4'-Dimethyl Acetophenone",CC1=CC(=C(C=C1)C(=O)C)C,89-74-7,6.736,0.9981,0.7180703308172529,low-fidelity RED
"Bis(2,5-Dimethyl-3-Furyl) Disulfide",CC1=CC(=C(O1)C)SSC2=C(OC(=C2)C)C,28588-73-0,6.463,1.095,0.9711462299777515,low-fidelity RED
m-Bromotoluene,CC1=CC(Br)=CC=C1,591-17-3,6.263,0.9362,0.9017344398435717,low-fidelity RED
m-Tolunitrile,CC1=CC(C#N)=CC=C1,620-22-4,6.794,1.058,0.9572094859538325,low-fidelity RED
"2,5-Dichlorotoluene",CC1=CC(Cl)=CC=C1Cl,19398-61-9,5.196,0.9823,0.860232526704262,low-fidelity RED
Para-Cresyl Benzoate,CC1=CC=C(C=C1)OC(=O)C2=CC=CC=C2,614-34-6,6.988,1.071,0.9182183836103472,low-fidelity RED
p-Chlorotoluene,CC1=CC=C(Cl)C=C1,106-43-4,5.357,0.8801,0.6480740698407852,high-fidelity RED
"2,3-Dichlorotoluene",CC1=CC=CC(Cl)=C1Cl,32768-54-0,5.058,0.9928,0.860232526704262,low-fidelity RED
Ortho-Cresyl Disulfide,CC1=CC=CC=C1SSC2=CC=CC=C2C,4032-80-8,5.983,1.002,0.790964600977819,low-fidelity RED
Medroxyprogesterone Acetate,CC1CC2C(CCC3(C2CCC3(C(=O)C)OC(=O)C)C)C4(C1=CC(=O)CC4)C,71-58-9,6.946,1.473,0.8710625695092161,low-fidelity RED
p-Tolyl Vinyl Sulfide,Cc1ccc(S\C=C)cc1,,5.8,1.018,0.908639092269312,low-fidelity RED
1-Chloro-2-Ethyl Benzene,CCC1=CC=CC=C1Cl,89-96-3,5.929,1.064,0.6786935980249114,high-fidelity RED
4-Fluoropropiophenone,CCCC(=O)C1=CC=C(C=C1)F,582-83-2,6.232,1.191,0.8085480814398113,high-fidelity RED
α-Amyl Cinnamaldehyde / Methyl Anthranilate Schiff's Base,CCCCCC/C(=C\C1=CC=CC=C1)/C=NC2=CC=CC=C2C(=O)OC,67924-13-4,7.456,1.301,0.8077747210701753,low-fidelity RED
"1-Phenanthrenecarboxylic Acid, Dichloro-1,2,3,4,4A,9,10,10A-",Cl[C]3(C(=O)OC)[C@@H]2CCc1c(ccc(c1)C(C)C)[C]2(CCC3Cl)C,57055-39-7,6.683,1.486,0.847422562833914,low-fidelity RED
"Hexachloro-1,3-Butadiene",Cl/C(\C(Cl)=C(Cl)/Cl)=C(Cl)/Cl,87-68-3,4.981,0.8121,0.8749999999999999,low-fidelity RED
