Name,solvent_SMILES,CAS,G-score prediction,G-score prediction uncertainty,Relative Energy Difference (RED),Source
3-Mercaptoisobutyric Acid,CC(CS)C(=O)O,26473-47-2,6.476,0.7568,0.7017834423809093,low-fidelity RED
Acetic Acid,CC(O)=O,64-19-7,5.726,0.6997,0.8400148808205721,high-fidelity RED
"3-Methyl-2,4-Pentanediol",CC(O)C(C(C)O)C,5683-44-3,6.273,0.813,0.5545268253204706,low-fidelity RED
2-Butanol,CC(O)CC,78-92-2,6.687,0.7341,0.6451743950281967,high-fidelity RED
"2,4-Pentanediol",CC(O)CC(C)O,625-69-4,6.814,0.6972,0.7640353394968059,low-fidelity RED
2-Pentanol,CC(O)CCC,6032-29-7,6.625,0.7494,0.6504805915628841,high-fidelity RED
"2,5-Hexanediol",CC(O)CCC(O)C,2935-44-6,6.809,0.8391,0.4506939094329991,low-fidelity RED
"1,4-Pentanediol",CC(O)CCCO,626-95-9,8.288,0.8946,0.8336666000266532,low-fidelity RED
1-Amino-2-Propanol,CC(O)CN,78-96-6,7.02,0.7433,0.7652613932506976,low-fidelity RED
Diisopropanolamine,CC(O)CNCC(O)C,110-97-4,6.916,0.8618,0.5841660722773963,low-fidelity RED
Dipropylene Glycol,CC(O)COCC(O)C,25265-71-8,7.118,0.952,0.3716517186829623,low-fidelity RED
2-Methoxy Propanol-1,CC(OC)CO,1589-47-5,6.609,0.9255,0.5857687256929988,low-fidelity RED
(Z)-2-Penten-1-ol,CC\C=C/CO,1576-95-0,6.282,0.8462,0.8919781387455636,low-fidelity RED
(E)-2-Penten-1-ol,CC\C=C\CO,1576-96-1,6.282,0.8462,0.8919781387455636,low-fidelity RED
Tiglic Acid,CC=C(C)C(=O)O,13201-46-2,5.859,0.7935,0.7685213074469697,low-fidelity RED
2-Butenoic Acid,CC=CC(=O)O,3724-65-0,5.783,0.9192,0.6184658438426487,low-fidelity RED
2-Buten-1-ol,CC=CCO,6117-91-5,6.709,0.8859,0.5590169943749476,low-fidelity RED
Caramel Furanone,CC1C(=C(C(=O)O1)O)C,28664-35-9,7.896,1.093,0.8591420138719792,low-fidelity RED
3-Methyl Cyclohexanol (Mix),CC1CCCC(C1)O,591-23-1,6.569,1.087,0.9762812094883314,high-fidelity RED
2-Methyl Cyclohexanol (Mix),CC1CCCCC1O,583-59-5,6.349,0.9002,0.9347459547919962,high-fidelity RED
Acetyl Ethyl Carbinol,CCC(C(=O)C)O,3142-66-3,6.411,0.9117,0.8692669325356859,low-fidelity RED
"3,4-Hexanediol",CCC(C(CC)O)O,922-17-8,6.442,0.8745,0.36827299656640594,low-fidelity RED
"3-Methyl-2,3-Pentanediol",CCC(C)(C(C)O)O,63521-37-9,7.019,0.9048,0.7071067811865474,low-fidelity RED
"2-Methyl-1,2-Butanediol",CCC(C)(CO)O,41051-72-3,6.288,0.8161,0.7766112283504538,low-fidelity RED
2-Methyl-2-Butanol,CCC(C)(O)C,75-85-4,6.376,0.7471,0.7607562027351465,high-fidelity RED
Methyl Ethyl Pyruvic Acid,CCC(C)C(=O)C(=O)O,1460-34-0,6.108,0.9218,0.8097067370350827,low-fidelity RED
"Dextro,Laevo-Isoleucine",CCC(C)C(C(=O)O)N,443-79-8,6.41,0.9133,0.7766112283504533,low-fidelity RED
"2-sec-Butyl-1,3-Propanediol",CCC(C)C(CO)CO,33673-01-7,6.991,0.7843,0.48218253804964767,low-fidelity RED
"2-Ethyl-1,3-Butanediol",CCC(CO)C(C)O,66553-17-1,7.06,0.8278,0.5662375826453065,low-fidelity RED
"2-Ethyl-1,3-Pentanediol",CCC(CO)C(CC)O,29887-11-4,6.959,0.8922,0.470372193055669,low-fidelity RED
s-Butyl Glycolate,CCC(OC(CO)=O)C,37160-61-5,6.963,0.9445,0.864580823289529,low-fidelity RED
"Butanal, Oxime",CCC/C=N/O,110-69-0,5.758,0.8924,0.8131727983645295,low-fidelity RED
2-Penten-1-ol,CCC=CCO,20273-24-9,6.282,0.8462,0.8919781387455636,low-fidelity RED
Abhexone,CCC1C(=C(C(=O)O1)O)C,698-10-2,8.165,1.096,0.9633924433998845,low-fidelity RED
"2-Propyl-1,3-Propanediol",CCCC(CO)CO,2612-28-4,6.644,0.8538,0.6485560885536424,low-fidelity RED
"1,3-Heptanediol",CCCCC(CCO)O,23433-04-7,7.769,0.9783,0.5533985905294668,low-fidelity RED
"2,3-Heptanediol",CCCCC(O)C(C)O,21508-07-6,6.646,0.9853,0.502493781056044,low-fidelity RED
Glyceryl 5-Hydroxydecanoate,CCCCCC(CCCC(=O)OCC(CO)O)O,26446-31-1,8.425,1.239,0.82802475808396,low-fidelity RED
"1,2-Octanediol",CCCCCCC(O)CO,1117-86-8,7.38,0.9965,0.5623610939600999,low-fidelity RED
"1,2-Nonanediol",CCCCCCCC(O)CO,42789-13-9,7.38,0.9965,0.6329494450586081,low-fidelity RED
"1,2-Decanediol",CCCCCCCCC(CO)O,1119-86-4,7.38,0.9965,0.7280109889280514,low-fidelity RED
"1,2-Dodecanediol",CCCCCCCCCCC(O)CO,1119-87-5,7.38,0.9965,0.9727538229171856,low-fidelity RED
1-Hexanol,CCCCCCO,111-27-3,7.453,0.6459,0.867827747885489,high-fidelity RED
n-Amyl Alcohol,CCCCCO,71-41-0,7.509,0.658,0.6393355926272208,high-fidelity RED
1-Butanol,CCCCO,71-36-3,7.142,0.7032,0.6562202374203342,high-fidelity RED
1-Propanol,CCCO,71-23-8,6.646,0.7053,0.6946221994724898,high-fidelity RED
Propyl Lactate,CCCOC(=O)C(C)O,616-09-1,6.865,0.9386,0.9450529085717903,low-fidelity RED
Ethylene Glycol Mono n-Propyl Ether,CCCOCCO,2807-30-9,7.28,0.7904,0.39843443626273073,high-fidelity RED
Diethylene Glycol Monopropyl Ether,CCCOCCOCCO,6881-94-3,7.269,0.786,0.9581883948368397,high-fidelity RED
2-(Diethylamino)Ethanol,CCN(CC)CCO,100-37-8,6.108,0.7982,0.972111104761179,high-fidelity RED
N-Ethyl Formamide,CCNC=O,627-45-2,6.118,0.938,0.5244044240850758,high-fidelity RED
Ethyl (2S)-2-Hydroxypropanoate,CCOC([C@H](C)O)=O,687-47-8,6.639,0.7388,0.6031169040907408,low-fidelity RED
Diethyl Laevo-Tartrate,CCOC(=O)C(C(C(=O)OCC)O)O,87-91-2,6.962,0.7564,0.47302219821061187,low-fidelity RED
Ethyl Lactate,CCOC(=O)C(C)O,97-64-3,6.639,0.7388,0.642748006609122,high-fidelity RED
Ethyl Aconitate,CCOC(=O)C/C(=C/C(=O)[O-])/C(=O)[O-],1321-30-8,6.57,1.123,0.9902651160169187,low-fidelity RED
Diethyl Malate,CCOC(=O)CC(C(=O)OCC)O,12/3/54 0:00,6.722,0.9596,0.9861541461658008,low-fidelity RED
Grape Butyrate,CCOC(=O)CC(C)O,5405-41-4,7.375,0.9169,0.8533024082938008,low-fidelity RED
3-Ethoxypropionic Acid,CCOCCC(=O)O,4324-38-3,6.292,0.9129,0.6446898479113812,low-fidelity RED
Ethylene Glycol Monoethyl Ether,CCOCCO,110-80-5,6.763,0.7926,0.3570714214271423,high-fidelity RED
Diethylene Glycol Monoethyl Ether,CCOCCOCCO,111-90-0,7.048,0.7889,0.7449832212875672,high-fidelity RED
2-Chloropropanoic Acid,ClC(C(=O)O)C,5/7/74 0:00,5.639,0.8863,0.4038873605350874,low-fidelity RED
2-Chlorobutanoic Acid,ClC(C(=O)O)CC,4170-24-5,5.614,0.9886,0.7158910531638176,low-fidelity RED
3-Chloropropanoic Acid,ClCCC(=O)O,107-94-8,5.742,0.9307,0.7215434844830905,low-fidelity RED
Dimethyl Ethanolamine,CN(C)CCO,108-01-0,6.45,0.9157,0.3570714214271426,high-fidelity RED
Methyl Diethanolamine,CN(CCO)CCO,105-59-9,6.863,0.8027,0.7636262174650638,low-fidelity RED
Methyl Hydrazine,CNN,60-34-4,5.407,0.8513,0.16770509831248395,high-fidelity RED
Methyl Lactate,COC(C(O)C)=O,547-64-8,6.983,0.7522,0.5678908345800281,low-fidelity RED
Methyl Carbitol,COCCOCCO,111-77-3,6.254,0.7537,0.6164414002968976,low-fidelity RED
Methoxy Methanol,COCO,4461-52-3,5.823,0.785,0.8975661535508122,high-fidelity RED
"Dextro,Laevo-Methionine",CSCCC(C(=O)O)N,59-51-8,6.594,0.9498,0.963392443399884,low-fidelity RED
"2,2-Difluoro-Ethanol",FC(F)CO,359-13-7,6.475,0.8064,0.46770717334674283,low-fidelity RED
l-Tyrosine,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,60-18-4,7.54,1.044,0.9852030247619014,high-fidelity RED
Valine,N[C@H](C(O)=O)C(C)C,72-18-4,5.924,0.9707,0.6689544080129824,low-fidelity RED
Lysine,N[C@H](C(O)=O)CCCCN,56-87-1,6.824,1.091,0.5031152949374528,low-fidelity RED
"1-Butanol, 2-Amino-",NC(CO)CC,96-20-8,7.074,0.8694,0.4847679857416322,low-fidelity RED
Ethyl Carbamate,NC(OCC)=O,51-79-6,6.541,0.8335,0.797260935955099,high-fidelity RED
6-Aminohexanol   (6-Amino-1-Hexanol),NCCCCCCO,4048-33-3,7.728,0.9435,0.6937218462755803,low-fidelity RED
3-Amino-1-Propanol,NCCCO,156-87-6,7.676,0.871,0.9766012492312308,low-fidelity RED
Ethylenediamine,NCCN,107-15-3,5.58,0.8013,0.6020797289396153,high-fidelity RED
Diethylenetriamine,NCCNCCN,111-40-0,5.722,0.9962,0.4782781617427244,high-fidelity RED
Triethylene Tetramine,NCCNCCNCCN,112-24-3,5.676,1.055,0.7968688725254615,low-fidelity RED
Tetraethylenepentamine,NCCNCCNCCNCCN,112-57-2,5.676,1.055,0.8234834546000298,low-fidelity RED
Pentaethylene Hexamine,NCCNCCNCCNCCNCCN,4067-16-7,5.676,1.055,0.841872912024137,low-fidelity RED
2-Aminoethoxyethanol,NCCOCCO,929-06-6,7.718,0.8669,0.8019507466172723,low-fidelity RED
"2-Propanol, 1,3-Dimethoxy-",O(C)CC(O)COC,623-69-8,6.438,0.8697,0.9516433155337137,low-fidelity RED
1-O-Octyl- -d-Glucopyranoside,O(CCCCCCCC)[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)CO,29836-26-8,6.895,1.215,0.32210246816812826,low-fidelity RED
t-Butyl Alcohol,O[C](C)(C)C,75-65-0,6.049,0.7236,0.8753570700005798,high-fidelity RED
t-Butyl Alcohol,O[C@](C)(C)C,75-65-0,6.049,0.7236,0.8753570700005798,low-fidelity RED
Sucrose,O[C@H](C(CO)O[C@H](O[C]2(O[C@H](CO)[C@@H](O)[C@@H]2O)CO)[C@@H]1O)[C@@H]1O,57-50-1,7.355,1.406,0.9617692030835675,low-fidelity RED
l-Proline ,O=C([C@@H]1CCCN1)O,147-85-3,5.652,1.137,0.9171968163922074,low-fidelity RED
Cyclopopanecaboxylic Acid,O=C(C1CC1)O,1759-53-1,5.655,0.9222,0.860595723902925,low-fidelity RED
1-Hydroxy-2-Butanone,O=C(CC)CO,5077-67-8,6.632,0.8461,0.9137833441248533,low-fidelity RED
"Acetic Acid, Hydroxy-, Ethyl Ester",O=C(CO)OCC,623-50-7,6.995,0.8977,0.5297405025104268,low-fidelity RED
n-Glycylleucine,O=C(NC(C(=O)O)CC(C)C)CN,869-19-2,6.922,1.125,0.9113863066779097,low-fidelity RED
n-Leucylglycine,O=C(NCC(=O)O)C(N)CC(C)C,686-50-0,6.245,0.9511,0.9113863066779097,low-fidelity RED
n-Octadecyl-d-Gluconamide,O=C(NCCCCCCCCCCCCCCCCCC)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,18375-66-1,7.582,1.149,0.6973162840490678,low-fidelity RED
d-Camphoric Acid,O=C(O)[C]1(CC[C@H](C(=O)O)C1(C)C)C,124-83-4,5.857,1.097,0.9672771061076553,low-fidelity RED
Alanine,O=C(O)[C@@H](N)C,56-41-7,6.934,0.8876,0.8631338250816036,low-fidelity RED
Trans-2-Methyl-2-Butenoic Acid,O=C(O)/C(C)=C/C,80-59-1,5.859,0.7935,0.7685213074469697,low-fidelity RED
Cis-2-Pentenoic Acid,O=C(O)\C=C/CC,16666-42-5,5.966,1.011,0.7386643351347074,low-fidelity RED
Crotonic Acid,O=C(O)\C=C\C,107-93-7,5.783,0.9192,0.8591420138719793,high-fidelity RED
Trans-2-Pentenoic Acid,O=C(O)\C=C\CC,13991-37-2,5.966,1.011,0.7386643351347074,low-fidelity RED
2-Methylenebutanoic Acid,O=C(O)C(=C)CC,3586-58-1,5.568,0.9434,0.7566372975210777,low-fidelity RED
2-Methyl-3-Butenoic Acid,O=C(O)C(C)C=C,53774-20-2,6.21,0.8957,0.8031189202104502,low-fidelity RED
2-Methylalanine,O=C(O)C(N)(C)C,62-57-7,5.93,0.9348,0.2207940216581962,low-fidelity RED
Isoleucine,O=C(O)C(N)C(C)CC,73-32-5,6.41,0.9133,0.7766112283504533,low-fidelity RED
2-Aminobutanoic Acid,O=C(O)C(N)CC,80-60-4,6.891,0.9167,0.36142080737002397,low-fidelity RED
Norvaline,O=C(O)C(N)CCC,6600-40-4,6.183,0.875,0.45620718977236635,low-fidelity RED
Norleucine,O=C(O)C(N)CCCC,327-57-1,6.698,0.9046,0.5244044240850756,low-fidelity RED
Diaminopimelic Acid,O=C(O)C(N)CCCC(N)C(=O)O,922-54-3,6.862,0.8827,0.883529852353615,low-fidelity RED
Homocysteine,O=C(O)C(N)CCS,6027-13-0,6.565,0.9677,0.9552486587271406,low-fidelity RED
Methionine,O=C(O)C(N)CCSC,63-68-3,6.594,0.9498,0.963392443399884,low-fidelity RED
Dl-Methoxyalanine,O=C(O)C(N)COC,4219-94-7,6.401,0.9477,0.5024937810560439,low-fidelity RED
l-Argininosuccinic Acid,O=C(O)C[C@@H](C(=O)O)NC(=N/CCC[C@H](N)C(=O)O)/N,2387-71-5,6.961,1.316,0.4301162633521316,low-fidelity RED
Cis-3-Pentenoic Acid,O=C(O)C\C=C/C,33698-87-2,6.264,0.9838,0.7399324293474376,low-fidelity RED
Trans-3-Pentenoic Acid,O=C(O)C\C=C\C,1617-32-9,6.264,0.9838,0.7399324293474376,low-fidelity RED
Endothal,O=C(O)C1C(C(=O)O)C2OC1CC2,145-73-3,6.059,1.029,0.965983954318083,low-fidelity RED
"4-Methylcyclohexane-1,2-Dicarboxylic Acid",O=C(O)C1C(C(=O)O)CC(C)CC1,57567-84-7,5.777,1.041,0.8565920849505905,low-fidelity RED
Cyclobutane Carboxylic Acid,O=C(O)C1CCC1,3721-95-7,5.475,1.011,0.9017344398435723,low-fidelity RED
4-Piperidinecarboxylic Acid ,O=C(O)C1CCNCC1,498-94-2,5.472,1.101,0.9974968671629993,low-fidelity RED
l-Pipecolic Acid,O=C(O)C1NCCCC1,3105-95-1,5.795,1.185,0.9701803955966133,low-fidelity RED
α-Ethylglutamic Acid,O=C(O)CCC(N)(C(=O)O)CC,,6.088,1.02,0.8735702604828075,low-fidelity RED
Azelaic Acid,O=C(O)CCCCCCCC(O)=O,123-99-9,6.665,0.837,0.5367727638395968,low-fidelity RED
6-Aminohexanoic Acid,O=C(O)CCCCCN,60-32-2,6.81,1.049,0.6490377492873587,low-fidelity RED
"N,N-Dimethylglycine",O=C(O)CN(C)C,1118-68-9,5.862,0.8395,0.642748006609122,low-fidelity RED
Methylglycine,O=C(O)CNC,107-97-1,5.956,0.8748,0.6708203932499371,low-fidelity RED
n-Propylglycine,O=C(O)CNCCC,6939-13-5,5.684,0.9814,0.5390964663211956,low-fidelity RED
Methoxyacetic Acid,O=C(O)COC,625-45-6,5.506,0.7658,0.44791182167922283,low-fidelity RED
"Pentanedioic Acid, Monomethyl Ester",O=C(OC)CCCC(O)=O,1501-27-5,6.776,0.8241,0.648074069840786,low-fidelity RED
"2,2-Dimethyl-3-Hydroxypropyl 2,2-Dimethyl-3-Hydroxypropionate",O=C(OCC(C)(C)CO)C(C)(C)CO,1115-20-4,5.872,1.043,0.9357483636106447,low-fidelity RED
2-Hydroxypropyl Acrylate,O=C(OCC(O)C)C=C,999-61-1,7.596,0.966,0.8739279146474261,low-fidelity RED
Diacetin,O=C(OCC(O)COC(=O)C)C,25395-31-7,7.55,0.8797,0.8576858399204219,low-fidelity RED
Dibutyl Tartrate,O=C(OCCCC)[C@H](O)[C@@H](O)C(OCCCC)=O,87-92-3,7.504,0.9085,0.8891709621889372,low-fidelity RED
2-Hydroxy Ethyl Methacrylate,O=C(OCCO)\C(=C)C,12676-48-1,7.017,1.064,0.9880536422684754,low-fidelity RED
Hydroxymethyl Methacrylate,O=C(OCO)\C(=C)C,21982-30-9,6.726,0.971,0.7656696415556778,low-fidelity RED
